"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"177","0.0688823","0.090048","0.11121","0.00300967","0.065","0.205"
"54","0.0137995","0.091023","0.16825","0.00022871","0.025","0.220"
"192","0.0714827","0.091177","0.11087","0.00344630","0.070","0.205"
"35","0.0469274","0.091756","0.13658","0.00057179","0.015","0.195"
"191","0.0700685","0.091788","0.11351","0.00275496","0.070","0.210"
"207","0.0730561","0.091959","0.11086","0.00373220","0.075","0.205"
"204","0.0599363","0.092477","0.12502","0.00137228","0.075","0.220"
"206","0.0722586","0.093105","0.11395","0.00299927","0.075","0.210"
"84","0.0343056","0.093155","0.15200","0.00040545","0.035","0.220"
"32","0.0179522","0.094925","0.17190","0.00019753","0.015","0.210"
"189","0.0617744","0.095604","0.12943","0.00123194","0.070","0.220"
"34","0.0405800","0.095982","0.15138","0.00038985","0.015","0.200"
"159","0.0583266","0.096625","0.13492","0.00097203","0.060","0.220"
"33","0.0312589","0.099376","0.16749","0.00026510","0.015","0.205"
"25","0.0364949","0.100033","0.16357","0.00025990","0.010","0.200"
"174","0.0654464","0.101611","0.13777","0.00108639","0.065","0.220"
"31","0.0071866","0.102028","0.19687","0.00014555","0.015","0.215"
"156","0.0245385","0.102069","0.17960","0.00026510","0.060","0.235"
"173","0.0604675","0.103348","0.14623","0.00074332","0.065","0.225"
"157","0.0507858","0.104054","0.15732","0.00048862","0.060","0.230"
"69","0.0409773","0.104110","0.16724","0.00033267","0.030","0.220"
"188","0.0652408","0.105143","0.14504","0.00084208","0.070","0.225"
"23","0.0186791","0.105756","0.19283","0.00012995","0.010","0.210"
"203","0.0685553","0.106613","0.14467","0.00094085","0.075","0.225"
"22","0.0091982","0.108171","0.20714","0.00010396","0.010","0.215"
"39","0.0363498","0.115276","0.19420","0.00019753","0.020","0.220"
"171","0.0482510","0.118726","0.18920","0.00030149","0.065","0.235"
"172","0.0743142","0.122272","0.17023","0.00056659","0.065","0.230"
"30","0.0085965","0.122400","0.23620","0.00010396","0.015","0.220"
"187","0.0816375","0.125674","0.16971","0.00064976","0.070","0.230"
"186","0.0641313","0.126444","0.18876","0.00036386","0.070","0.235"
"24","0.0542613","0.127734","0.20121","0.00016634","0.010","0.205"
"201","0.0700022","0.128069","0.18614","0.00041584","0.075","0.235"
"202","0.0883006","0.129653","0.17101","0.00072773","0.075","0.230"
"155","0.0403258","0.134843","0.22936","0.00013515","0.060","0.240"
"184","0.0324485","0.136682","0.24092","0.00011956","0.070","0.245"
"185","0.0596469","0.140857","0.22207","0.00018193","0.070","0.240"
"170","0.0631776","0.149250","0.23532","0.00015594","0.065","0.240"
"200","0.0760726","0.151874","0.22768","0.00020272","0.075","0.240"
"199","0.0595036","0.153214","0.24692","0.00014035","0.075","0.245"




the 3-rec thing:
[1] "\nBest lo95: [ 0.0883, 0.1297, 0.1710 ] with frac 0.000728 of loans.\nThreshA 0.230000 cutoffA 0.075000, threshB 0.230000 cutoffB 0.075000, threshC 0.230000 cutoffC 0.075000"
[1] "\nBest mean: [ 0.0761, 0.1519, 0.2277 ] with frac 0.000203 of loans.\nThreshA 0.240000 cutoffA 0.075000, threshB 0.240000 cutoffB 0.075000, threshC 0.240000 cutoffC 0.075000"
[1] "\nBest joint: [ 0.0761, 0.1519, 0.2277 ] with frac 0.000203 of loans.\nThreshA 0.240000 cutoffA 0.075000, threshB 0.240000 cutoffB 0.075000, threshC 0.240000 cutoffC 0.075000"



a custom chosen single sloped line:
x .205  y 0      to       x .25 y.075

slope .075 / .045 = 1.66666666666

yint 0 - .205(.075/.045) = -.342


y<=1.666666x - .342
y>0
slopeIdx <- which(df$badProbs <= 1.6666666 * df$INTEREST_RATE - 0.342);
slopeStats <- selectionStats(slopeIdx)

slopeStats: [0.0625928,  0.103812,  0.1450312],  fractaken  0.0007693107
